"Activity Tag"
"B004"
"B110"
"C009"
"A208"
"CCC"
"TUT12"
"B316"
"D018"
"B214"
"D313"
"D112"
"C101"
"C111"
"LEC1"
"C308"
"C109"
"TUT6"
"B302"
"C201"
"C209"
"C014"
"TUT7"
"D215"
"B308"
"C106"
"TUT3"
"C117"
"TUT2"
"C205"
"TUT8"
"B312"
"A001"
"B112"
"B003"
"C309"
"LargeClass"
"TUT11"
"TUT10"
"LEC2"
"D317"
"A207"
"C217"
"TUT9"
"B212"
"C206"
"TUT5"
"C315"
"A303"
"A206"
"TUT4"
"C017"
"C301"
"C006"
"TUT1"
"A101"
"D004"
"C005"
"D013"
"C307"
"B113"
