"Activity Tag"
"D112"
"TUT3"
"D018"
"D313"
"B110"
"TUT1"
"A206"
"C309"
"C006"
"C109"
"B212"
"C307"
"D004"
"TUT5"
"TUT8"
"A208"
"C017"
"B112"
"B316"
"B308"
"TUT9"
"C217"
"C209"
"B214"
"C106"
"TUT4"
"C315"
"D013"
"C014"
"C117"
"C308"
"B004"
"LEC1"
"B003"
"C206"
"A207"
"A101"
"A303"
"B312"
"C101"
"C009"
"D215"
"B302"
"C111"
"TUT6"
"B113"
"D317"
"C301"
"CCC"
"TUT10"
"C201"
"A001"
"TUT7"
"TUT2"
"C005"
"LEC2"
"C205"
