"Activity Tag"
"C101"
"D004"
"A303"
"LargeClass"
"C315"
"CCC"
"C111"
"D317"
"C117"
"C106"
"C217"
"B308"
"B112"
"B003"
"C309"
"B004"
"C308"
"TUT1"
"LEC2"
"A101"
"TUT11"
"C006"
"TUT8"
"TUT4"
"D215"
"B316"
"LEC1"
"C017"
"C005"
"A208"
"C209"
"A001"
"TUT6"
"C009"
"C301"
"TUT12"
"B302"
"B214"
"TUT9"
"D313"
"B110"
"A206"
"C014"
"TUT10"
"D013"
"D112"
"B312"
"C206"
"TUT7"
"TUT5"
"C307"
"B212"
"B113"
"C201"
"C109"
"TUT3"
"D018"
"C205"
"A207"
"TUT2"
